Name,Date,Previous Names,Capital,Government,Languages
Seychelles,,,Victoria,Republic,French English
Sierra Leone,1787,,Freetown,Republic,Mende Temne English
Somalia,1886,Somaliland,Mogadishu,No effective government,Somali
South Africa,1910,,Pretoria,Republic,English Afrikaans Xhosa Zulu Tswana Sotho Pedi Swazi many others
Sudan,1899,,Khartoum,No effective government,Arabic Nubian Beja Dinka
Swaziland,1968,,Mbabana,Monarchy,Swazi English
Tanzania,1961,Tanganyka,Dar es Salaam,,Swahili English many others
Togo,1884,Togoland,Lome,One Party State,Ewe French
Tunisia,1881,Carthage Maghreb,Tunis,,Arabic French
Uganda,1961,,Kampala,,Luganda English many others
Zambia,1888,Northern Rhodesia,Lusaka,One Party State,Bemba English
Zimbabwe,1890,Rhodesia Southern Rhodesia,Harare,One Party State,Shona Matebele English

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"KryssTal : Countries of the World","page_url":"http://www.krysstal.com/countries.html","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"Islands in the Mediterranean Sea. Islands in the North Atlantic and Arctic Oceans; West of the Caspian Sea; West of the Ural Mountains in the Eurasian continent; 59 countries and territories Europe and the Mediterranean \" /> Support this web site by making a donation google_color_text = \"000000\"; google_color_url = \"008000\"; google_color_link = \"0000FF\"; google_color_bg = \"D3D3D3\"; google_color_border = \"000000\"; google_ad_channel =\"\"; google_ad_type = \"text\"; google_ad_format = \"160x600_as\"; google_ad_height = 600; google_ad_width = 160; google_ad_client = \"pub-3099042624744828\"; Countries of the World A complete table of the 249 countries and territories of the world by continent. [Home Page] [Other Page] [Inventions]","element":{"root":0,"nodes":[{"tag":"","start":0,"end":729,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"Turkey 1923 Ottoman Empire Byzantine Empire Ankara Republic Turkish Kurdish Arabic Ukraine 1991 Soviet Union Kiev Republic Ukrainian Russian United Kingdom 1801 England Scotland Wales London Constitutional Monarchy English Welsh Gaelic Vatican City c330 1927 Papal States Vatican City Theocracy Italian Asia and the Indian Ocean 45 countries and territories East of the Ural Mountains of the Eurasian continent; Islands off the east and south coast ; Islands in the central regions of the Indian Ocean. Name Date Previous Names Capital Government Languages Afghanistan 1747   Kabul No effective government Farsi Pashto Uzbek Bahrain 1971   Manama Absolute Monarchy Arabic Bangladesh 1971 East Pakistan Dhaka Republic Bengali Urdu Bhutan     Thimphu Theocratic Monarchy Jonkha British Indian Ocean Territory     Diego Garcia Colony (UK)   Brunei c650   Bandar Seri Begawan Absolute Monarchy Malay Burma (Myanmar) 1948   Rangoon Military Dictatorship Burmese Karen Shan Cambodia c800 Kampuchea Phnom Penh Republic Khmer French Vietnamese China c1500BC Carthay Beijing One Party State Mandarin Cantonese Fukien Wu Tibetan Uigur East Timor 2002   Dili Republic Portuguese","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1177,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]]]}
