Name,Vollständiger Name,Regierungszeit,Anmerkungen
Arvandus,unbekannt,468,Usurpator (?) in Gallien (durch Eurich)
Romanus,unbekannt,470,Usurpator (?) in Italien (durch Ricimer?)
Olybrius,Flavius Anicius Olybrius,472,"durch Ricimer (und Geiserich?), gegen Anthemius, von Leo I. nicht anerkannt (?)"
Glycerius,unbekannt,473–474,"durch Gundobad, von Leo I. nicht anerkannt"
Julius Nepos,Flavius Iulius Nepos,474–480,"474 Caesar (?) unter Leo II. und Zenon (gegen Glycerius), Exil ab 475 in Dalmatien; erkannte Eurich als Regenten in Südgallien und Spanien an"
Romulus Augustulus,Romulus A(u)gustus,475–476,"Gegenkaiser in Italien (durch Orestes), von Odoaker abgesetzt"

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"Wikipedia - SPIEGEL ONLINE","page_url":"http://www.spiegel.de/wikipedia/Westrom.html","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"Liste der weströmischen Kaiser Der Niedergang des weströmischen Kaisertums und der Stadt Rom ging einher mit dem Aufstieg der Kirche. Seit dem 5. Jahrhundert war der Einfluss des Bischofs von Rom stetig gewachsen. Im späteren 6. Jahrhundert rückte er zunehmend an die Stelle der zerfallenden weltlichen Autoritäten in der Stadt, und spätestens seit Gregor dem Großen agierte der Bischof, nunmehr als Papst, mehr oder weniger als Stadtherr Roms. In der Nachfolge der Kaiser beanspruchte er fortan als Bischof des caput mundi die Oberhoheit über die Christenheit. Um 534 dürfte die Stadt noch immer um die 100.000 Einwohner gezählt haben. Dann markierte der Krieg des oströmischen Kaisers Justinian I. gegen die Ostgoten die eigentliche Zäsur in der Stadtgeschichte: Zwischen 535 und 549 wurde Rom mehrfach belagert, die lebenswichtigen Aquädukte zerstört sowie ein Großteil der Senatoren deportiert oder getötet. Den letzten Schlag für die antiken Strukturen Italiens stellte dann der Einfall der Langobarden 568 dar, wenngleich Rom selbst nicht erobert wurde. Der weströmische Senat verschwand bald darauf (um 590). Im Mittelalter lebten nur noch höchstens 20.000 Menschen in der Stadt. Auf dem Forum Romanum, dessen letztes antikes Monument, die Phokas-Säule, 608 errichtet worden war, wurde schließlich Ackerbau betrieben. Antike Bauten dienten als Steinbruch oder wurden durch Umbauten auf niedrigem Niveau zweckentfremdet. Der Niedergang des Weströmischen Reiches machte sich auch in der Stadt Rom bemerkbar: Die Stadt, in der um 250 nach Christus über 1 Million Menschen gelebt","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1605,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"Legende: Farbe Bedeutung Unterkaiser oder Mitregent Gegenkaiser oder Usurpator Siehe auch Römisches Reich Spätantike Völkerwanderung Untergang des Römischen Reiches Liste der römischen Kaiser der Antike Literatur Vergleiche auch die entsprechenden Abschnitte zur späten römischen Kaiserzeit. Henning Börm: Das weströmische Kaisertum nach 476. In: Josef Wiesehöfer u.a. (Hrsg.): Monumentum et instrumentum inscriptum. Stuttgart 2008, S. 47-69. Averil Cameron u.a. (Hrsg.): The Cambridge Ancient History. Bd. 13 und 14, 2. neugestaltete Aufl., Cambridge 1998–2000. (Hervorragende Gesamtdarstellung; dort findet sich auch weiterführende Literatur, größtenteils jüngeren Datums.) Alexander Demandt: Die Spätantike. 2. erweiterte Auflage. München 2008. (Solide und gut lesbare Darstellung, die aber nicht immer den aktuellen Forschungsstand wiedergibt.) Adrian Goldsworthy: The Fall of the West. London 2009. (Populärwissenschaftliche Darstellung.) Andreas Goltz: Marcellinus Comes und das \"Ende\" des Weströmischen Reiches im Jahr 476. In: Dariusz Brodka u.a. (Hrsg.): Continuity and Change. Studies in Late Antique Historiography (Electrum 13). Krakau 2007, S. 39-59. Guy Halsall: Barbarian Migrations and the Roman West, 376–568. Cambridge 2007. Peter J. Heather: The Fall of the Roman Empire. London 2005. (Detaillierte Darstellung des Untergangs Westroms; vor allem hinsichtlich militärgeschichtlicher Fragen sehr nützlich.) Dirk Henning: Periclitans res Publica: Kaisertum und Eliten in der Krise des weströmischen Reiches,","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1548,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]],[[],[],[],[]]]}
