Title,Publisher,EU Release Date,AU Release Date,PEGI,ACB
Aero the Acro-Bat 2,Sunsoft,2010-08-06,2010-08-06,3,G
Wild Guns,Natsume,2010-08-13,2010-08-13,12,PG
Mystic Quest Legend,Square Enix,2010-09-24,2010-09-24,7,G
Rival Turf!,Jaleco,2010-10-08,2010-10-08,12,PG
Super E.D.F.: Earth Defense Force,Jaleco,2010-10-29,2010-10-29,7,G
Super Bonk (900 Wii Points),Hudson Soft,2010-12-10,2010-12-10,3,G
Natsume Championship Wrestling (900 Wii Points),Natsume,2011-02-18,2011-02-18,12,PG
Final Fantasy III (900 Wii Points),Square Enix,2011-03-18,2011-03-18,7,PG
Brawl Brothers,Jaleco,2011-04-01,2011-04-01,12,PG
The Ignition Factor (900 Wii Points),Jaleco,2011-04-29,2011-04-29,7,PG
Super Adventure Island,Hudson Soft,2011-05-13,2011-05-13,3,G
Chrono Trigger (900 Wii Points),Square Enix,2011-05-20,2011-05-20,12,PG
Super Adventure Island II,Hudson Soft,2011-06-10,2011-06-10,3,G
Prince of Persia,Ubisoft,2012-01-19,2012-01-19,12,PG

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"List of Virtual Console games (PAL region) - Wikipedia, the free encyclopedia","page_url":"http://en.wikipedia.org/wiki/List_of_Virtual_Console_games_%28Australia%29","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"There are currently 65 games (64 in Europe) available to purchase. [edit] Super Nintendo Entertainment System (800 Wii Points) Hudson Soft 2011-04-15 3 G Adventure Island II Natsume 2011-02-04 7 G S.C.A.T. (600 Wii Points) Hudson Soft 2010-11-26 7 G Faxanadu Natsume 2010-07-09 12 PG Shadow of the Ninja (600 Wii Points) Sunsoft 2010-07-02 7 G Ufouria: The Saga Square Enix 2010-05-07 3 G Final Fantasy (600 Wii Points) Capcom 2010-04-16 7 G Mega Man 4 Sunsoft 2010-04-09 7 G Blaster Master Hudson Soft 2010-03-19 3 G Milon's Secret Castle (600 Wii Points) Hudson Soft 2010-03-12 3 G Lode Runner (600 Wii Points) Majesco 2009-12-18 3 G A Boy and His Blob: Trouble on Blobolonia Nintendo 2009-07-17 3 G Smash Table Tennis (600 Wii Points) Nintendo 2009-07-10 7 G Zoda's Revenge: StarTropics II (600 Wii Points) Nintendo 2009-03-06","element":{"root":0,"nodes":[{"tag":"","start":0,"end":829,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"[edit] Nintendo 64 (1000 Wii Points) There are currently 21 games available to purchase. Title Publisher EU Release Date AU Release Date PEGI ACB Super Mario 64 Nintendo 2006-12-08 2006-12-07 3 G Mario Kart 64 Nintendo 2007-01-26 3 G The Legend of Zelda: Ocarina of Time Nintendo 2007-02-23 12 PG Lylat Wars Nintendo 2007-04-20 7 PG F-Zero X Nintendo 2007-06-15 3 G Paper Mario Nintendo 2007-07-13 3 G Wave Race 64 Nintendo 2007-08-17 3 G Sin and Punishment (1200 Wii Points) Nintendo 2007-09-28 12 M Yoshi's Story Nintendo 2007-10-26 3 G Pok?mon Snap Nintendo 2007-12-11 3 G 1080? Snowboarding Nintendo 2008-01-18 3 G Kirby 64: The Crystal Shards Nintendo 2008-03-07 3 G Cruis'n USA Nintendo 2008-03-28 7 G Pok?mon Puzzle League Nintendo 2008-05-30 3 G Mario Golf Nintendo 2009-01-23 3 G","element":{"root":0,"nodes":[{"tag":"","start":0,"end":788,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]]]}
