Journal Name,PMC Deposit Policy,Who Deposits to PMC,Embargo Period in Months,Optional Fee for Immediate Access,Publisher Link to NIH Policy Page or Related Policy
GENETICS,Yes,Publisher Only,6,No,GENETICS SOCIETY OF AMERICA
GEOPHYSICAL RESEARCH LETTERS,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN GEOPHYSICAL UNION
GLOBAL BIOGEOCHEMICAL CYCLES,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN GEOPHYSICAL UNION
GLOBAL CHANGE BIOLOGY,Yes,Publisher Only,12,Yes,WILEY-BLACKWELL
GYNECOLOGIC ONCOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,Yes,Author Only,12,No,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
INTEGRATIVE AND COMPARATIVE BIOLOGY,Yes,Publisher Only,12,Yes,OXFORD UNIVERSITY PRESS INC
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,Yes,Author Only,12,Yes,CAMBRIDGE UNIVERSITY PRESS
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,Yes,Publisher OR Author,12,No Specific Information,ASSOCIATION FOR RESEARCH IN VISION AND OPHTHALMOLOGY INC
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Yes,Author Only,6,No Specific Information,AMERICAN MEDICAL ASSOCIATION
JOURNAL OF APPLIED PHYSIOLOGY,Yes,Publisher Only,12,Yes,AMERICAN PHYSIOLOGICAL SOCIETY
JOURNAL OF BACTERIOLOGY,Yes,Publisher Only,6,No Specific Information,AMERICAN SOCIETY FOR MICROBIOLOGY
JOURNAL OF BIOLOGICAL CHEMISTRY,Yes,Publisher Only,12,Yes,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY
JOURNAL OF BIOMEDICAL OPTICS,Yes,Publisher Only,12,Yes,SOCIETY OF PHOTOPTICAL INSTRUMENTATION ENGINEERS **
JOURNAL OF CHEMICAL PHYSICS,Yes,Publisher Only,12,Yes,AMERICAN INSTITUTE OF PHYSICS
JOURNAL OF CLINICAL ONCOLOGY,Yes,Publisher Only,12,No Specific Information,AMERICAN SOCIETY OF CLINICAL ONCOLOGY
JOURNAL OF COMPARATIVE NEUROLOGY,Yes,Publisher Only,12,Yes,WILEY
JOURNAL OF COMPUTATIONAL PHYSICS,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF ENDOUROLOGY,Yes,Publisher Only,12,Yes,MARY ANN LIEBERT INC
JOURNAL OF EXPERIMENTAL BIOLOGY,Yes,Publisher only,6,Yes,THE COMPANY OF BIOLOGISTS LTD
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN GEOPHYSICAL UNION
JOURNAL OF IMMUNOLOGY,Yes,Author Only,12,No Specific Information,AMERICAN ASSOCIATION OF IMMUNOLOGISTS
JOURNAL OF INVESTIGATIVE MEDICINE,Yes,Publisher Only,12,No Specific Information,LIPPINCOTT WILLIAMS & WILKINS
JOURNAL OF MATHEMATICAL PSYCHOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF NEUROPHYSIOLOGY,Yes,Publisher Only,12,Yes,AMERICAN PHYSIOLOGICAL SOCIETY
JOURNAL OF NEUROSCIENCE,Yes,Publisher Only,6,Yes,SOCIETY FOR NEUROSCIENCE
JOURNAL OF NUCLEAR MEDICINE,No Specific Policy,No Specific Information,No Specific Information,No Specific Information,SOCIETY OF NUCLEAR MEDICINE INC
JOURNAL OF ORGANIC CHEMISTRY,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Yes,Publisher Only,12,No Specific Information,AMERICAN SOCIETY FOR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS
JOURNAL OF PHYSICAL CHEMISTRY A,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF PHYSICAL CHEMISTRY B,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Yes,Publisher Only,12,Yes,ACOUSTICAL SOCIETY OF AMERICA (AMERICAN INSTITUTE OF PHYSICS)
JOURNAL OF THE AMERICAN ACADEMY OF CHILD & ADOLESCENT PSYCHIATRY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF VIROLOGY,Yes,Publisher Only,6,No Specific Information,AMERICAN SOCIETY FOR MICROBIOLOGY
KIDNEY INTERNATIONAL,Yes,Publisher OR Author,6,Yes,NATURE PUBLISHING GROUP
LASERS IN SURGERY AND MEDICINE,Yes,Publisher Only,12,Yes,WILEY
LEARNING & MEMORY,Yes,Publisher Only,12,Yes,COLD SPRING HARBOR LABORATORY PRESS
LECTURE NOTES IN COMPUTER SCIENCE,Yes,Publisher OR Author,12,Yes,SPRINGER-VERLAG BERLIN
MATERIALS SCIENCE AND ENGINEERING A,Yes,Publisher Only,12,Yes,ELSEVIER
MEDICAL PHYSICS,Yes,Publisher Only,12,Yes,AMERICAN ASSOCIATION OF PHYSICISTS IN MEDICINE (AMERICAN INSTITUTE OF PHYSICS)
MOLECULAR AND CELLULAR BIOLOGY,Yes,Publisher Only,6,No Specific Information,AMERICAN SOCIETY FOR MICROBIOLOGY
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,Yes,Publisher Only,12,Yes,WILEY-BLACKWELL
NANO LETTERS,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
NATURE,Yes,Publisher OR Author,6,Yes,NATURE PUBLISHING GROUP
NEUROBIOLOGY OF AGING,Yes,Publisher Only,12,Yes,ELSEVIER
NEUROBIOLOGY OF LEARNING AND MEMORY,Yes,Publisher Only,12,Yes,ELSEVIER
NEUROIMAGE,Yes,Publisher Only,12,Yes,ELSEVIER
NEURON,Yes,Publisher Only,12,Yes,CELL PRESS
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A,Yes,Publisher Only,12,Yes,ELSEVIER
NUCLEIC ACIDS RESEARCH,Yes,Publisher Only,12,Yes,OXFORD UNIVERSITY PRESS
ONCOGENE,Yes,Publisher OR Author,6,Yes,NATURE PUBLISHING GROUP
OPTICS LETTERS,Yes,Author Only,12,Yes,OPTICAL SOCIETY OF AMERICA
ORGANIC LETTERS,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
ORGANOMETALLICS,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,No Specific Policy,No Specific Information,No Specific Information,No Specific Information,ROYAL SOCIETY OF CHEMISTRY
PHYSICAL REVIEW B,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICAL REVIEW D,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICAL REVIEW E,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICAL REVIEW LETTERS,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICS IN MEDICINE AND BIOLOGY,Yes,Publisher OR Author,12,No Specific Information,IOP PUBLISHING LTD
PHYSICS OF PLASMAS,Yes,Publisher Only,12,Yes,AMERICAN INSTITUTE OF PHYSICS
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE USA,Yes,Publisher OR Author,6,Yes,NATIONAL ACADEMY OF SCIENCES
SCIENCE,Yes,Author Only,6,No Specific Information,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE
SOCIAL FORCES,Yes,Author Only,12,No Specific Information,UNIVERSITY OF NORTH CAROLINA PRESS **
STROKE,Yes,Publisher Only,12,No Specific Information,LIPPINCOTT WILLIAMS & WILKINS
UROLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
VIROLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
VISION RESEARCH,Yes,Publisher Only,12,Yes,ELSEVIER

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"NIH Publisher Policies - Projects and Initiatives - About Us - UCI Libraries","page_url":"http://www.lib.uci.edu/about/projects/scamp/nih-publisher-policies.html","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"UC faculty and researchers should note that all information below relates to publishers' standard author agreements. UC authors can negotiate various elements of these agreements. UC authors can also include The University of California Letter To Publishers with the author agreement to allow the author to deposit into PMC regardless of publisher requirements. UC authors should think carefully before agreeing to any PMC/NIH public-access-related fees, consult the NIH Guide or contact the UCI Libraries NIH Group at nihgroup@uci.edu NIH Public Access Policies for Core Journals Where UCI Researchers Publish Melvyl - UC Libraries Melvyl - UC Irvine Libraries Melvyl - Libraries Worldwide our site   in  SEARCH More...","element":{"root":0,"nodes":[{"tag":"","start":0,"end":723,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"** indicates policy was obtained, but website provides no specific information. Explanation of Data PMC Deposit Policy?:   Indicates if publisher has policy on PMC deposits or if no specific policy has been found to-date. Who Deposits to PMC:    Publisher or Author: Publisher policy states that publisher or author may deposit. Publisher Only: Publisher policy states that only publisher may deposit. Author Only: Publisher policy states that author must deposit because publisher will not deposit. Embargo Period:   Number of months that the publisher or author must wait to deposit in PMC as stated in publisher policy. Optional Fee for Immediate Access:   Indicates whether the publisher charges authors a fee for immediate deposit to PMC or other Open Access websites. Yes indicates publisher offers an optional fee or fee-based program that makes articles immediately available. No indicates publisher does not offer a fee or fee-based service.     See also Sherpa Romeo's page Publishers with Paid Options for Open Access Information compiled by reviewing publisher websites, contacting publishers directly, or consulting the following sources as of January 2010: http://oad.simmons.edu/oadwiki/Publisher_policies_on_NIH-funded_authors http://www.sherpa.ac.uk/romeo/ http://publicaccess.nih.gov/submit_process_journals.htm http://www.cpc.unc.edu/aboutcpc/services/research/library/services/nih_public_access_mandate/journals/ Disclaimer:   The information provided is meant to be an index to publisher policies and is subject to change. This information is not to be considered a substitute for legal advice.","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1629,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]]]}
