Rank,Title of Great Novel,Year,Author,Religious Affiliation of Author
62,The Good Soldier,1915,Ford Madox Ford,Catholic; agnostic
63,The Awakening,1899,Kate Chopin,Catholic
64,A Passage to India,1924,E. M. Forster,
65,Herzog,1964,Saul Bellow,Orthodox Jew (lapsed); Anthroposophist
66,Germinal,1855,Emile Zola,Catholic
67,Call It Sleep,1934,Henry Roth,Jewish
68,U.S.A. Trilogy,1930-38,John Dos Passos,Catholic
69,Hunger,1890,Knut Hamsun,
70,Berlin Alexanderplatz,1929,Alfred Doblin,Catholic
71,Cities of Salt,1984-89,'Abd al-Rahman Munif,
72,The Death of Artemio Cruz,1962,Carlos Fuentes,Catholic
73,A Farewell to Arms,1929,Ernest Hemingway,Catholic
74,Brideshead Revisited,1945,Evelyn Waugh,Catholic
75,The Last Chronicle of Barset,1866-67,Anthony Trollope,Anglican
76,The Pickwick Papers,1836-67,Charles Dickens,Anglican
77,Robinson Crusoe,1719,Daniel Defoe,Protestant Dissenter (Presbyterian)
78,The Sorrows of Young Werther,1774,Johann Wolfgang von Goethe,Deist
79,Candide,1759,Voltaire,raised in Jansenism; later Deist
80,Native Son,1940,Richard Wright,Seventh-day Adventist; Communist
81,Under the Volcano,1947,Malcolm Lowry,Methodist; Anglican; agnostic
82,Oblomov,1859,Ivan Goncharov,
83,Their Eyes Were Watching God,1937,Zora Neale Hurston,
84,Waverley,1814,Sir Walter Scott,Anglican
85,Snow Country,"1937, 1948",Kawabata Yasunari,
86,Nineteen Eighty-Four,1949,George Orwell,Anglican
87,The Betrothed,"1827, 1840",Alessandro Manzoni,Catholic
88,The Last of the Mohicans,1826,James Fenimore Cooper,Episcopalian
89,Uncle Tom's Cabin,1852,Harriet Beecher Stowe,Episcopalian; Congregationalist
90,Les Miserables,1862,Victor Hugo,Catholic
91,On the Road,1957,Jack Kerouac,Catholic; Buddhism
92,Frankenstein,1818,Mary Shelley,
93,The Leopard,1958,Giuseppe Tomasi di Lampedusa,Catholic
94,The Catcher in the Rye,1951,J.D. Salinger,Jewish Catholic; Scientologist
95,The Woman in White,1860,Wilkie Collins,
96,The Good Soldier Svejk,1921-23,Jaroslav Hasek,Catholic
97,Dracula,1897,Bram Stoker,Church of Ireland (Anglican)
98,The Three Musketeers,1844,Alexandre Dumas,agnostic; Catholic
99,The Hound of Baskervilles,1902,Arthur Conan Doyle,Catholic; Spiritualist
100,Gone with the Wind,1936,Margaret Mitchell,Catholic

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"The Novel 100: The 100 Greatest Novels of All Time","page_url":"http://www.adherents.com/people/100_novel.html.bak","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"What makes a listing of the greatest novels even more problematic is the lack of any consensus about which works rightfully constitute the genre... the novel is such a hybrid and adaptive genre, assimilating other prose and verse forms... A standard definition of the novel--an extended prose narrative--is so broad that it fails to limit the field usefully... I have been influenced in this regard, like many, by literary critic Ian Watt's groundbreaking 1957 study, The Rise of the Novel, which contends that the novel as a distinctive genre emerged in 18th-century England through the shifting of the emphasis of previous prose romances and their generalized and idealized characters, settings, and situations to a particularity of individual experience. In other words, the novel replaced the romance's interest in the general and the ideal with a concern for the particular. The here and now substituted for the romance's interest in the long ago and far away. As 18th-century novelist Clara Reece observed, \"The Novel is a picture of real life and manners, and of the times in which it was written. The Romance, in lofty and elevated language, describes what has never happened nor is likely to.\" Novelists began to represent the actual world accurately, governed by the laws of probability. ...It would be far too reductive and misleading, however, to define the novel only by its realism or accurate representation of ordinary life... It would be far more accurate to say that the novel as","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1497,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"All-Time 100 Best Novels List 100 Best Novels, 1923 to present Source: Lev Grossman and Richard Lacayo, \"TIME's Critics pick the 100 Best Novels, 1923 to present\", published in Time Magazine, 2005 (http://www.time.com/time/2005/100books/the_complete_list.html; viewed 31 October 2005): TIME Critics Lev Grossman and Richard Lacayo pick the 100 best English-language novels from 1923 to the present. Listed alphabetically by title. Title Author Religious Affiliation The Adventures of Augie March Saul Bellow Orthodox Jew (lapsed); Anthroposophist All the King's Men Robert Penn Warren   American Pastoral Philip Roth Jewish An American Tragedy Theodore Dreiser Catholic; Congregationalist; Chrisitan Science Animal Farm George Orwell Anglican Appointment in Samarra John O'Hara   Are You There God? It's Me, Margaret Judy Blume Jewish The Assistant Bernard Malamud Jewish At Swim-Two-Birds Flann O'Brien   Atonement Ian McEwan atheist Beloved Toni Morrison   The Berlin Stories Christopher Isherwood Hindu (Vedanta Society) The Big Sleep Raymond Chandler   The Blind Assassin Margaret Atwood","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1096,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]],[[],[],[],[],[]]]}
